0,205469
90,203104
0,201819
270,201711
180,201560
90,201415
0,201279
270,201160
0,201024
180,200998
270,200862
90,200829
0,200760
270,200680
180,200566
90,200563
270,200434
90,200360
0,200318
270,200235
90,200131
180,200085
0,200078
270,200017
90,199934
0,199859
270,199808
180,199699
270,199548
90,199502
0,199447
270,199377
90,199281
0,199244
270,199157
90,199065
180,199039
270,198943
90,198865
0,198833
270,198729
90,198653
270,198537
90,198453
90,206188
270,204285
270,203795
270,203765
270,203736
270,203706
270,203677
270,203647
270,203618
270,203587
270,203558
270,203528
270,203498
270,203468
270,203438
270,203409
270,203379
270,203349
270,203319
270,203290
270,203260
270,203230
270,203200
270,203170
270,203140
270,203110
270,203081
270,203051
270,203021
270,202991
270,202961
270,202931
270,202902
270,202872
270,202843
270,202813
270,202783
270,202753
270,202723
270,202694
270,202663
270,202634
270,202604
